Epoch,loss,surface_mse,upper_air_mse
1,1.2522940346412408,1.4444547960391412,0.15888759088548984
2,0.34037634438028497,0.2620997713817345,0.13590767291875985
3,0.31706459593618574,0.21230561527740824,0.12273537218161337
4,0.30545768888102914,0.2038330411190515,0.11435432672746233
5,0.32197121227888553,0.16580052948096297,0.10835548586488425
6,0.2847337459735915,0.18832484239732827,0.10139491079518428
7,0.2963798324474803,0.1583163841003245,0.0986809359228873
8,0.2948472005590325,0.14210265342678344,0.09532777574118022
9,0.2842283286182092,0.13560180613709674,0.09326342485108219
10,0.2690981844853251,0.1341054326353165,0.08984954380890825
